CO_IES,CO_CURSO,CO_ALUNO,CO_ALUNO_CURSO,TP_COR_RACA,TP_SEXO,NU_IDADE,TP_DEFICIENCIA,IN_RESERVA_VAGAS,IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,NU_ANO_INGRESSO,NO_IES,SG_IES,NO_CURSO,NO_MUNICIPIO,NO_UF
583,13980,400002927555,10802911,2,2,28,1,0,0,0,2,1,1,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400003487046,9700772,2,2,32,0,0,1,0,2,1,0,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400004454309,8320376,2,2,40,0,0,0,0,2,1,0,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400004457276,8270850,2,2,28,0,1,0,0,1,0,0,0,2016,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005696646,9703960,2,2,30,0,0,1,0,1,1,0,0,2014,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005888424,8307533,3,2,37,0,0,0,0,1,1,0,0,2014,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005974206,8294542,1,2,29,0,0,0,0,2,1,0,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005978374,8274844,1,2,26,0,0,0,0,2,1,0,0,2014,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005987590,8302507,2,2,31,0,0,0,0,1,1,0,0,2013,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400005989844,8294861,0,1,27,0,0,0,0,1,0,0,1,2017,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400006347305,8321000,1,2,31,1,1,0,0,1,0,0,0,2015,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400006349333,8320442,3,2,27,0,0,0,0,2,1,0,0,2013,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400006351762,10803767,2,2,27,0,0,0,0,2,1,1,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007163503,8290948,1,1,29,1,1,0,0,1,0,0,0,2015,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007165962,8274681,1,2,39,0,0,0,0,2,0,0,0,2015,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007173311,8306275,1,2,27,0,0,0,0,2,1,0,0,2014,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007177437,10804167,2,2,26,0,0,0,0,2,1,1,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007178670,8318023,2,2,26,0,0,0,0,2,1,0,0,2016,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007180505,8312563,2,2,29,0,0,0,0,2,1,0,0,2012,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400007312645,8312492,3,2,30,0,0,0,0,1,1,0,0,2015,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
583,13980,400009037787,8316350,1,2,27,0,0,0,0,2,1,0,0,2013,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE
