CO_IES,Instituicao,Sigla,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,B,C,D,D,B,A,A,A,E,D,B,B,B,D,I,A,D,B,A,25,E,A,B,35.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,29,B,B,D,B,D,B,A,D,A,B,B,B,E,B,C,A,A,F,A,D,25,A,A,A,29.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,31,C,D,C,D,D,B,A,D,A,E,D,B,B,B,A,A,A,F,A,A,25,B,A,B,44.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,24,C,B,C,D,C,C,A,A,A,E,D,B,G,E,A,A,A,F,B,A,25,B,A,B,59.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,23,C,C,C,D,D,D,A,D,A,C,D,B,D,B,A,A,A,B,B,A,25,B,A,B,55.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,C,D,A,D,C,A,D,A,B,B,B,F,B,D,I,A,F,A,D,25,A,A,D,47.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,C,D,C,D,C,C,A,A,A,C,E,A,A,C,A,A,A,D,A,A,25,B,A,B,36.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,C,B,B,B,D,D,A,D,A,F,E,D,A,F,A,A,A,A,A,A,27,B,A,B,62.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,27,C,D,B,A,D,B,A,A,A,D,D,B,D,C,A,A,A,D,A,A,25,A,A,B,52.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,C,B,D,D,D,A,A,A,A,D,D,C,C,C,C,A,A,F,A,A,25,B,A,B,37.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,C,C,C,D,C,C,A,A,A,E,E,D,A,E,A,A,D,F,B,A,25,A,B,A,61.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,C,B,C,C,D,C,A,A,A,E,E,B,G,F,E,A,A,B,A,A,25,B,A,B,71.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,30,A,C,C,B,D,C,A,D,A,B,D,A,A,B,C,A,A,D,B,A,24,A,A,A,49.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,26,C,B,B,B,D,C,A,A,A,D,D,B,E,B,A,A,A,A,A,A,25,B,A,A,39.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,21,C,D,C,A,D,D,A,D,A,F,F,B,D,F,D,A,A,E,B,A,25,B,A,B,68.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,31,E,B,C,D,D,B,A,A,A,D,E,A,A,F,E,A,A,F,B,A,25,B,A,A,43.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,23,D,B,D,A,D,D,A,D,A,E,F,D,A,E,A,A,A,E,B,A,25,A,B,B,77.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,D,B,C,D,D,B,A,A,A,E,F,B,D,F,A,A,A,C,B,A,25,B,A,B,69.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,C,B,B,D,D,B,A,A,A,C,D,B,D,B,A,A,A,F,A,A,25,B,A,G,37.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,C,A,C,D,D,D,A,D,A,B,D,E,A,C,E,A,E,C,F,A,25,A,B,D,60.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,B,A,B,A,D,D,A,A,A,B,B,B,F,B,C,A,A,C,A,C,25,A,A,A,49.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,C,B,A,B,D,C,A,A,A,B,E,B,D,E,A,A,A,F,A,A,24,B,A,B,46.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,21,C,B,C,D,D,B,A,D,A,D,D,B,D,B,A,A,A,D,A,A,25,B,A,B,43.0
