"CO_IES","Instituicao","Sigla","UF",2009,2010,2011,2012,2013,2014,2015,2016
549,"UNIVERSIDADE FEDERAL DO ACRE (UFAC)","UFAC","AC",14051,12897,12118,15093,24041,24800,27709,29412
577,"UNIVERSIDADE FEDERAL DE ALAGOAS (UFAL)","UFAL","AL",19447,18667,18200,17616,20074,23264,28422,33814
4,"UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM)","UFAM","AM",12809,15787,15823,15590,14598,18200,18149,20604
830,"UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP)","UNIFAP","AP",7585,7172,8495,9475,12513,14683,13898,14149
578,"UNIVERSIDADE FEDERAL DA BAHIA (UFBA)","UFBA","BA",27330,30532,32422,32873,36701,40250,36962,35709
18506,"UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (UFOB)","UFOB","BA",,,,,,21585,25074,26454
4503,"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA (UFRB)","UFRB","BA",19830,17376,16730,16404,17152,19310,20168,22927
18812,"UNIVERSIDADE FEDERAL DO SUL DA BAHIA (UFSB)","UFSB","BA",,,,,,29168,35159,32018
18759,"UNIVERSIDADE FEDERAL DO CARIRI (UFCA)","UFCA","CE",,,,,,19180,26134,29422
583,"UNIVERSIDADE FEDERAL DO CEARÁ (UFC)","UFC","CE",28267,31728,31592,31925,40119,40269,43549,48346
15497,"UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA (UNILAB)","UNILAB","CE",,,30219,19234,20536,24803,22477,23394
2,"UNIVERSIDADE DE BRASÍLIA (UNB)","UNB","DF",30174,34680,34723,37681,45500,42173,37687,38806
573,"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO (UFES)","UFES","ES",19424,20804,22385,26481,29361,30170,35029,34970
584,"UNIVERSIDADE FEDERAL DE GOIÁS (UFG)","UFG","GO",30029,32519,31126,33977,37580,40660,42557,44139
548,"UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA)","UFMA","MA",19882,24028,23573,22440,23071,22196,21787,22653
17,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA (UFU)","UFU","MG",30466,33542,32862,34856,38098,43150,44133,49073
8,"UNIVERSIDADE FEDERAL DE VIÇOSA (UFV)","UFV","MG",29420,32723,32291,34423,38698,43408,47022,50402
107,"UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI (UFSJ)","UFSJ","MG",14745,17773,13557,11251,12715,15445,17828,19080
576,"UNIVERSIDADE FEDERAL DE JUIZ DE FORA (UFJF)","UFJF","MG",26118,26942,27017,27875,33303,36234,36724,36251
592,"UNIVERSIDADE FEDERAL DE LAVRAS (UFLA)","UFLA","MG",24791,24781,20788,18776,20460,21424,23474,25911
575,"UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG)","UFMG","MG",32970,35342,36314,37657,42148,45730,49098,51186
6,"UNIVERSIDADE FEDERAL DE OURO PRETO (UFOP)","UFOP","MG",12822,14216,16857,17511,19596,22995,24790,26013
597,"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO (UFTM)","UFTM","MG",75133,68891,63608,57658,63885,69690,69045,67823
596,"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI (UFVJM)","UFVJM","MG",14739,17202,13904,13993,18195,20485,21190,23283
