"Instituicao","Sigla","despesaLiquidada","totalAlunos","custoAluno"
"UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE)","UFPE","1557.9",38774,"39754.9"
"UNIVERSIDADE FEDERAL DE ALAGOAS (UFAL)","UFAL","802.8",23741,"33813.6"
"UNIVERSIDADE FEDERAL DA BAHIA (UFBA)","UFBA","1480.0",41445,"35709.2"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG)","UFCG","661.4",17194,"38468.7"
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO (UFRPE)","UFRPE","579.0",13989,"41387.5"
"UNIVERSIDADE FEDERAL DO CEARÁ (UFC)","UFC","1560.1",32269,"48346.1"
"UNIVERSIDADE FEDERAL DO PIAUÍ (UFPI)","UFPI","776.2",30348,"25575.5"
"UNIVERSIDADE FEDERAL DA PARAÍBA (UFPB)","UFPB","1551.5",34084,"45518.8"
"UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA)","UFMA","729.5",32204,"22652.6"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE (UFRN)","UFRN","1694.5",32872,"51548.1"
"UNIVERSIDADE FEDERAL DE SERGIPE (UFS)","UFS","635.4",30060,"21138.2"
"UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO (UFERSA)","UFERSA","253.9",9757,"26027.1"
