CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,D,D,C,B,C,C,B,A,A,A,B,A,D,A,B,B,C,B,A,C,A,E,F,57.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,A,E,D,B,B,B,D,D,I,A,D,B,A,E,A,B,C,A,B,C,A,H,A,35.7
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,29,A,D,B,B,B,E,B,E,C,A,A,F,A,D,A,A,A,B,B,A,E,E,E,C,29.5
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,31,A,D,E,D,B,B,B,B,A,A,A,F,A,A,B,A,B,F,A,E,E,E,E,C,44.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,F,E,E,F,A,D,C,C,A,A,F,A,A,B,A,A,K,A,C,C,E,H,I,61.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,24,A,A,E,D,B,G,E,B,A,A,A,F,B,A,B,A,B,G,A,E,C,A,A,F,59.9
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,23,A,D,C,D,B,D,B,C,A,A,A,B,B,A,B,A,B,G,A,C,D,B,E,A,55.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,D,B,B,B,F,B,A,D,I,A,F,A,D,A,A,D,C,B,A,C,D,E,C,47.9
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,A,C,E,A,A,C,A,A,A,A,D,A,A,B,A,B,A,A,C,C,E,A,F,36.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,D,F,E,D,A,F,B,A,A,A,A,A,A,B,A,B,C,A,C,D,A,A,F,62.5
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,27,A,A,D,D,B,D,C,B,A,A,A,D,A,A,A,A,B,C,B,B,C,E,E,F,52.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,A,D,D,C,C,C,D,C,A,A,F,A,A,B,A,B,A,A,C,E,E,E,F,37.5
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,24,A,A,E,E,D,A,E,C,A,A,D,F,B,A,A,B,A,E,A,A,D,C,A,F,61.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,A,E,E,B,G,F,E,E,A,A,B,A,A,B,A,B,G,A,B,E,E,E,F,71.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,30,A,D,B,D,A,A,B,C,C,A,A,D,B,A,A,A,A,C,B,B,E,E,A,F,49.6
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,26,A,A,D,D,B,E,B,B,A,A,A,A,A,A,B,A,A,A,A,B,E,E,H,F,39.2
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,21,A,D,F,F,B,D,F,C,D,A,A,E,B,A,B,A,B,C,A,C,D,E,E,F,68.4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,31,A,A,D,E,A,A,F,D,E,A,A,F,B,A,B,A,A,K,A,A,C,E,E,F,43.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,23,A,D,E,F,D,A,E,C,A,A,A,E,B,A,A,B,B,C,A,B,C,E,C,F,77.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,A,E,F,B,D,F,C,A,A,A,C,B,A,B,A,B,H,A,A,B,E,E,F,69.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,A,E,E,B,B,A,C,A,A,A,B,B,A,B,A,A,A,A,A,A,E,E,F,80.8
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,A,A,C,D,B,D,B,B,A,A,A,F,A,A,B,A,G,G,A,A,D,A,C,C,37.2
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,A,D,B,D,E,A,C,D,E,A,E,C,F,A,A,B,D,C,A,E,B,A,E,F,60.6
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,22,A,A,B,B,B,F,B,C,C,A,A,C,A,C,A,A,A,G,A,A,E,E,C,F,49.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,23,A,A,B,E,B,D,E,D,A,A,A,F,A,A,B,A,B,C,A,C,D,C,E,F,46.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,27,A,D,F,F,B,E,F,D,A,G,A,F,B,A,B,A,B,A,A,A,C,E,A,A,55.0
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,21,A,D,D,D,B,D,B,B,A,A,A,D,A,A,B,A,B,A,A,C,B,A,E,F,43.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,A,D,D,B,D,B,C,A,A,A,B,B,A,A,B,B,C,B,C,D,C,E,F,59.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,D,E,E,B,E,F,C,B,A,A,B,B,A,B,A,B,A,A,E,E,E,H,F,70.7
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,D,D,E,B,D,E,C,D,A,A,C,A,A,B,A,B,C,A,C,C,E,B,F,42.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,23,A,D,E,D,B,E,E,C,A,A,A,B,A,A,B,A,B,C,A,C,E,E,H,A,48.6
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,21,A,A,E,D,B,D,E,C,A,A,A,D,A,A,B,A,B,C,A,A,B,E,A,A,57.8
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,22,A,D,D,D,B,D,A,C,C,H,A,F,B,A,B,A,C,A,A,B,B,B,E,E,46.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,26,A,A,C,C,D,C,C,C,C,A,A,C,A,A,B,A,B,C,B,C,C,A,E,F,43.8
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,A,D,B,B,G,C,C,A,A,A,B,A,A,B,A,B,C,A,C,C,A,H,A,59.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,21,A,A,B,C,B,B,B,D,A,A,A,B,A,A,A,A,B,C,A,B,E,D,A,A,54.3
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,F,24,A,C,B,C,B,F,B,B,A,A,A,B,B,A,B,A,B,C,A,A,B,E,H,C,51.1
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),1,13446,CIÊNCIA DA COMPUTAÇÃO,Campina Grande,PB,M,25,A,B,D,D,D,A,C,C,A,A,A,F,B,A,A,A,A,K,A,C,E,E,A,F,50.7
