CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I24,QE_I25,QE_I26,NT_GER
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,D,A,B,E,D,E,A,D,A,D,D,B,D,C,A,A,A,A,A,D,A,A,A,45.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,22,E,B,C,B,D,E,A,B,A,B,D,B,E,C,A,A,A,B,D,A,A,B,F,48.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,B,C,C,D,D,E,A,A,A,E,E,B,E,A,B,A,A,A,A,A,B,A,A,55.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,D,C,C,E,C,C,A,B,A,D,D,B,F,E,B,A,A,A,A,B,B,A,B,23.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,B,B,C,B,D,D,A,B,A,D,C,B,C,A,A,A,A,E,B,B,A,A,B,54.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,B,B,D,E,D,C,A,A,A,E,E,B,F,F,E,A,A,C,A,A,B,A,B,55.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,B,B,D,D,A,E,A,D,D,B,D,B,A,A,A,B,B,D,A,A,B,43.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,C,E,D,D,A,D,A,D,D,B,D,B,B,A,A,B,A,B,A,A,A,40.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,A,B,C,E,C,E,A,A,A,D,D,B,C,E,A,A,A,A,A,A,B,A,B,53.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,B,A,B,A,B,C,B,A,A,D,D,C,D,A,A,A,A,B,A,A,B,A,B,45.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,B,B,A,D,E,A,A,A,D,F,B,D,E,E,A,A,E,C,A,B,A,B,49.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,C,B,A,A,D,D,A,D,A,E,E,B,F,E,A,A,A,E,B,D,A,B,A,44.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,B,B,C,B,D,C,A,A,A,D,D,B,C,C,A,A,A,E,B,A,A,A,B,42.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,30,C,B,C,B,C,D,A,B,A,F,D,B,D,F,E,A,A,B,A,A,B,A,B,55.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,D,B,C,B,D,D,A,D,A,E,F,D,D,C,E,A,E,A,A,E,B,A,B,44.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,29,C,B,C,A,D,D,A,D,A,B,D,B,C,B,A,A,A,B,A,A,A,A,B,68.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,29,D,B,C,E,D,D,A,D,A,D,D,B,E,B,A,A,A,B,A,A,B,A,B,9.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,B,A,B,A,D,D,A,D,A,D,D,A,A,A,A,A,E,B,C,D,A,A,B,70.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,C,B,D,D,A,D,A,E,D,B,C,A,A,A,A,A,A,D,A,A,C,45.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,C,B,C,A,D,D,A,D,A,E,F,B,D,E,D,A,A,B,A,A,B,A,B,50.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,D,C,C,A,D,E,A,D,A,E,D,B,D,D,D,A,A,A,A,A,B,A,B,33.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,C,A,B,A,C,C,A,A,A,C,E,B,E,E,A,A,A,A,A,A,B,A,B,54.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,C,B,C,A,C,D,A,A,A,E,E,B,D,E,A,G,A,B,A,A,B,A,B,65.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,C,A,C,B,B,C,A,A,A,C,D,B,D,B,D,A,A,B,A,D,A,A,B,64.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,B,A,C,C,D,D,A,D,A,D,D,B,B,C,A,A,A,B,A,A,B,A,B,35.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,C,C,C,E,D,D,A,A,A,D,F,B,D,D,A,A,A,C,B,A,E,A,B,45.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,C,B,D,C,C,C,A,D,A,B,D,B,C,C,E,A,A,B,A,D,A,A,B,37.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,B,D,D,B,B,C,A,A,A,D,D,B,C,E,E,A,A,C,A,A,B,A,B,42.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,C,D,A,E,A,B,A,D,D,B,H,B,A,A,A,B,A,B,A,B,A,40.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,B,B,D,E,D,D,A,A,A,E,E,B,D,E,A,A,E,C,B,A,B,A,B,47.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,27,B,B,C,A,C,B,E,A,A,A,D,C,C,C,A,A,A,B,A,A,E,A,B,28.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,C,C,B,B,D,C,A,A,A,D,D,B,C,C,A,A,E,E,B,A,B,A,C,53.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,C,A,A,B,D,C,A,A,A,F,F,B,C,F,A,A,A,E,B,A,B,A,B,31.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,29,C,B,B,E,D,D,A,A,A,D,D,B,D,E,E,A,A,E,A,A,A,A,F,62.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,C,D,C,B,D,D,A,A,A,C,C,B,B,A,A,A,A,C,B,C,A,A,C,48.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,30,D,C,D,C,D,E,A,D,A,C,D,B,F,D,E,A,A,A,A,D,A,A,F,28.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,D,A,D,A,B,D,A,D,A,D,F,B,E,D,C,E,A,A,A,D,A,B,B,44.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,C,A,B,B,D,D,A,D,A,B,B,B,G,B,A,C,A,A,A,C,A,A,B,27.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,C,B,D,B,B,C,A,D,A,D,E,B,D,B,B,G,A,A,A,A,B,A,B,31.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,B,A,B,E,D,B,B,D,A,D,D,C,E,D,E,E,A,A,A,A,A,A,C,8.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,C,B,C,B,C,D,A,D,A,B,C,B,H,C,E,E,A,A,A,A,A,A,F,22.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,C,A,B,B,C,C,E,D,A,D,D,C,C,B,E,E,A,A,A,A,A,A,F,38.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,31,C,B,B,D,B,C,B,A,A,D,C,C,C,B,E,E,A,A,A,C,A,A,B,17.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,B,B,C,B,D,D,A,D,A,B,D,D,C,B,A,E,A,A,A,A,A,A,B,24.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,C,B,D,A,C,C,A,A,A,F,D,B,C,A,E,E,A,A,A,A,A,A,G,20.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,C,B,B,A,C,D,A,D,A,C,D,B,D,A,A,E,A,A,A,A,A,A,B,20.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,C,C,C,B,B,C,A,B,A,D,D,B,C,A,A,E,A,D,E,A,B,A,D,28.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,32,C,B,C,E,D,D,A,D,A,D,C,B,F,B,E,C,A,F,A,D,A,A,C,25.0
