index,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NO_CURSO,Instituicao,Sigla,Municipio,UF
3099,2017,548,1,10028,4004,11452,1,2111300,21,2,27,M,2007.0,2011.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CAABCEAD,10011111.0,CBEDBCAEDECDBCEDCABDEBAEBCA,001011010001910099111100000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,333.0,555.0,45.2,64.0,75.0,47.5,95.0,75.0,100.0,0.0,0.0,0.0,38.9,41.7,23.3,0.0,0.0,70.0,C,D,D,A,A,B,E,D,E,A,D,A,D,D,B,D,C,B,A,A,A,A,A,D,21.0,A,A,A,C,A,A,D,A,E,A,5.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,4.0,4.0,4.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,7.0,7.0,4.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3100,2017,548,1,10028,4004,11452,1,2111300,21,2,22,F,2012.0,2013.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCBDEEAD,11100111.0,EEEABCCBCDEBABEDAEBACBDDBAC,001011000110900099100100010,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,48.4,81.8,75.0,92.0,89.0,85.0,90.0,95.0,75.0,100.0,37.3,33.3,60.0,70.0,80.0,30.0,C,C,E,B,B,C,B,D,E,A,B,A,B,D,B,E,C,C,A,A,A,B,D,A,21.0,A,B,F,K,A,B,B,A,H,F,4.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,4.0,8.0,7.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,4.0,4.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3101,2017,548,1,10028,4004,11452,1,2111300,21,2,27,M,2007.0,2013.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ACBBEEAD,1110111.0,AAEABCBEACEDAECECCDDDCBBCAB,101011011011900199010001010,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,55.5,73.6,75.0,71.5,68.0,80.0,65.0,75.0,75.0,75.0,49.5,50.0,46.7,20.0,20.0,100.0,C,D,B,C,D,C,D,D,E,A,A,A,E,E,B,E,A,B,B,A,A,A,A,A,21.0,B,A,A,B,A,A,A,E,H,I,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3102,2017,548,1,10028,4004,11452,1,2111300,21,2,32,M,2001.0,2011.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,B,F,A,C,C,B,H,C,F,E,A,A,A,A,A,21.0,E,A,F,G,A,C,B,C,A,I,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3103,2017,548,1,10028,4004,11452,1,2111300,21,2,32,M,2002.0,2008.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,DCBBDEBE,1110100.0,CAACCCEEACCDDCBBCBDBCCBDCBC,000101011001910099000000000,555.0,555.0,555.0,333.0,555.0,333.0,333.0,333.0,333.0,333.0,333.0,23.5,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,25.0,0.0,0.0,0.0,0.0,D,D,D,C,C,C,E,C,C,A,B,A,D,D,B,F,E,C,B,A,A,A,A,B,21.0,B,A,B,A,A,A,A,A,E,A,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3104,2017,548,1,10028,4004,11452,1,2111300,21,2,25,M,2009.0,2010.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCABCEDC,11011100.0,CAECACBEABEDEBCCCDEDCCAEDAE,001101011011900099010000111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,54.3,63.7,62.5,65.5,60.0,80.0,55.0,71.0,75.0,70.0,51.2,45.8,81.7,60.0,85.0,100.0,C,D,B,B,B,C,B,D,D,A,B,A,D,C,B,C,A,B,A,A,A,E,B,B,21.0,A,A,B,G,A,C,E,E,E,F,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3105,2017,548,1,10028,4004,11452,1,2111300,21,2,24,M,2010.0,2011.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CDCBCEAD,10011111.0,AAAACCBEADEAACADECADABBDBAD,100001011110911099010100010,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,55.0,79.2,75.0,85.5,96.0,80.0,100.0,75.0,75.0,75.0,46.9,45.8,53.3,30.0,30.0,100.0,B,C,B,B,B,D,E,D,C,A,A,A,E,E,B,F,F,D,E,A,A,C,A,A,21.0,B,A,B,A,A,E,E,A,B,A,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3106,2017,548,1,10028,4004,11452,1,2111300,21,2,25,M,2009.0,2011.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,ACDBCEED,1011101.0,CAAABCCEBBEBBCAEDEEDAACADED,000011010010911199010000100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,43.2,69.5,62.5,80.0,65.0,65.0,65.0,95.0,75.0,100.0,34.4,37.5,16.7,40.0,10.0,0.0,C,C,A,B,B,B,B,D,D,A,E,A,D,D,B,D,B,A,A,A,A,B,B,D,21.0,A,A,B,A,B,C,C,A,A,A,5.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3107,2017,548,1,10028,4004,11452,1,2111300,21,2,25,M,2009.0,2010.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CCDCCEBB,11001100.0,ABAECDBEACAADECDAEBDDBBBCAD,100000011000900099110101010,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,40.1,61.2,50.0,78.0,84.0,60.0,90.0,72.0,60.0,75.0,33.1,33.3,31.7,40.0,55.0,0.0,C,C,A,B,B,C,E,D,D,A,D,A,D,D,B,D,B,B,B,A,A,B,A,B,21.0,A,A,A,C,B,E,C,C,E,F,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
3108,2017,548,1,10028,4004,11452,1,2111300,21,2,27,M,2007.0,2008.0,2.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,ACECBCDEADEDACAECEBDEBEBDAE,ACECBCDEADEDXCAEXXBDEBEBDAE,CAABCECD,10011101.0,ACBEBDBDABEDECEEACCDDBDBDAB,110010001011910199010101110,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,333.0,53.1,74.1,62.5,91.5,88.0,80.0,90.0,95.0,75.0,100.0,46.1,54.2,0.0,0.0,0.0,0.0,C,C,A,B,B,C,E,C,E,A,A,A,D,D,B,C,E,B,A,A,A,A,A,A,21.0,B,A,B,C,A,A,B,E,A,F,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,7.0,2.0,2.0,2.0,3.0,7.0,3.0,2.0,3.0,2.0,7.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,7.0,1.0,7.0,7.0,2.0,,,,,,,,,,,,,,CIÊNCIA DA COMPUTAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),UFMA,São Luís,MA
