Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Situação
323,ASSOCIACAO BRASILEIRA DE ENSINO UNIVERSITARIO ABEU,30.831.606/0001-30,Privada sem fins lucrativos,2565,ABEU - CENTRO UNIVERSITÁRIO (UNIABEU),UNIABEU,Rua Itaiara - 301 - CEP: 26113-400 - Centro,Belford Roxo,RJ,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,4,2015,4,2018,3,2017,Ativa
17403,ESPIRITO SANTO SECRETARIA DE EST DE SEGURANCA PUBLICA,27.476.373/0001-90,Pessoa Jurídica de Direito Público - Estadual,24465,ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO (APM/ES),APM/ES,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,-,,-,,-,,Ativa
15797,SANTA CATARINA TRIBUNAL DE JUSTICA,83.845.701/0001-59,Pessoa Jurídica de Direito Público - Estadual,17969,ACADEMIA JUDICIAL DO TRIBUNAL DE JUSTIÇA DE SANTA CATARINA (AJ),AJ,Rua Almirante Lamego - 1386 - CEP: 88015-601 - Centro,Florianópolis,SC,Escola de Governo,Escola do Governo,Publica,Pública Estadual,5,2015,-,,-,,Ativa
16500,COMANDO DO EXERCITO,00.394.452/0270-52,Pessoa Jurídica de Direito Público - Federal,21095,Academia Militar das Agulhas Negras (AMAN),AMAN,AC Academia Militar de Agulhas Negras - 306 - CEP: 27534-970 - Independência,Resende,RJ,Centro Universitário,Presencial - Superior,Publica,Pública Federal,-,,-,,-,,Ativa
15748,MINISTERIO DA JUSTICA,00.394.494/0014-50,Pessoa Jurídica de Direito Público - Federal,17613,ACADEMIA NACIONAL DE POLÍCIA - ANP (ANP),ANP,Academia Nacional de Polícia Federal - - CEP: 71559-900 - Setor Habitacional Taquari (Lago Norte),Brasília,DF,Escola de Governo,EAD - Lato-sensu / Escola do Governo,Publica,Pública Federal,4,2015,-,,-,,Ativa
1707,ASSOCIACAO JUINENSE DE ENSINO SUPERIOR DO VALE DO JURUENA-AJES,05.053.243/0001-01,Privada sem fins lucrativos,2629,AJES - FACULDADE DO VALE DO JURUENA (AJES),AJES,Avenida Gabriel Müller - s/n - CEP: 78320-000 - Módulo I,Juína,MT,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2010,-,,4,2017,Ativa
2371,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,05.598.350/0001-15,Privada com fins lucrativos,3756,ALFA - Faculdade de Almenara,-,Rua Vereador Virgílio Mendes Lima - 847 - CEP: 39900-000 - São Pedro,Almenara,MG,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,3,2015,2,2017,Ativa
2371,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,05.598.350/0001-15,Privada com fins lucrativos,18520,ALFA - Faculdade de Araçuai (ALFA-Araçuai),ALFA-Araçuai,Rua Dom Serafim - 435 - CEP: 39600-000 - Centro,Araçuaí,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
2371,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,05.598.350/0001-15,Privada com fins lucrativos,18692,ALFA - Faculdade de Guanhães (ALFA - Gunhães),ALFA - Gunhães,Rua Wantuil Caldeira - 544 - CEP: 39740-000 - Expansão,Guanhães,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
16218,ATOPP BRASIL EDUCACIONAL S.A.,19.853.648/0001-39,Privada com fins lucrativos,19853,ATOPP BRASIL FACULDADE DE NEGÓCIOS (ATOPP BRASIL),ATOPP BRASIL,Rua Fortaleza - 91 - CEP: 86020-240 - Jardim Agari,Londrina,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
1073,CETH CENTRO DE ESTUDOS TURISTICOS E HOTELEIROS LTDA,91.458.992/0001-50,Privada com fins lucrativos,1636,CASTELLI ESCOLA SUPERIOR DE HOTELARIA (CASTELLI ESH),CASTELLI ESH,Avenida Osvaldo Aranha - 994 - CEP: 95680-000 - Centro,Canela,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,2,2011,Ativa
774,SOCIEDADE EDUCACIONAL DR. BLUMENAU LTDA,03.170.731/0001-73,Privada com fins lucrativos,1138,CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU (CESBLU),CESBLU,Rua Capitão Santos - 145 - CEP: 89020-060 - Garcia,Blumenau,SC,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,3,2008,Ativa
31,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS,17.319.831/0001-23,Pessoa Jurídica de Direito Público - Estadual,31,CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG),UTRAMIG,Avenida Afonso Pena - 3400 - CEP: 30130-009 - CRUZEIRO,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,-,,-,,-,,Ativa
17401,FIEC FUNDACAO INDAIATUBANA DE EDUCACAO E CULTURA,54.675.103/0001-80,Pessoa Jurídica de Direito Público - Municipal,24462,CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC),FIEC,Avenida Engenheiro Fábio Roberto Barnabé - - CEP: 13349-003 - Jardim Regina,Indaiatuba,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,-,,-,,-,,Ativa
17020,PROCEP - CENTRO DE ENSINO E PESQUISA,39.420.179/0001-71,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,22930,Centro de Ensino e Pesquisa do Pró-Cardíaco (Procep),Procep,Rua Voluntários da Pátria - 435 - CEP: 22270-005 - Botafogo,Rio de Janeiro,RJ,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Privada,Privada sem fins lucrativos,-,,-,,-,,Ativa
57,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,11.462.454/0001-09,Pessoa Jurídica de Direito Público - Municipal,73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA),CESA,Rua Gumercindo Cavalcanti - 420 - CEP: 56512-902 - SÃO CRISTOVÃO,Arcoverde,PE,Faculdade,Presencial - Superior,Publica,Especial,-,,-,,2,2017,Ativa
16269,ESCOLA TECNICA DE BACABEIRA LTDA - ME,04.510.265/0001-90,Privada com fins lucrativos,19842,CENTRO DE ENSINO SUPERIOR DE BACABEIRA (CESBA),CESBA,"Rua dos bacurizeiros, bairro nova bacabeira - Bacabeira - Maranhão - 13 - CEP: 65143-970 - Centro",Bacabeira,MA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
77,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE,19.722.313/0001-81,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3488,Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL),CES-CL,Rua Lopes Franco - 1001 - CEP: 36400-000 - Carijós,Conselheiro Lafaiete,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,3,2017,Ativa
1804,CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA - ME,04.245.712/0001-21,Privada com fins lucrativos,2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI),CESUPI,Avenida Tancredo Neves - s/n - CEP: 45655-120 - São Francisco,Ilhéus,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
511,ASSOCIACAO JATAIENSE DE EDUCACAO,00.079.285/0001-06,Privada com fins lucrativos,755,CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT),CESUT,Rua Santos Dumont - 1.200 - CEP: 75804-045 - Setor Oeste,Jataí,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,3,2017,Ativa
235,ASSOCIACAO PROPAGADORA ESDEVA,21.562.368/0001-13,Privada sem fins lucrativos,337,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA (CES/JF),CES/JF,Rua Halfeld - 1179 - CEP: 36016-000 - Centro,Juiz de Fora,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2019,-,,3,2017,Ativa
