Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação
2017,21,ARQUITETURA E URBANISMO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,44,Educação Presencial,5103403,Cuiabá,MT,44,43,"59,4977","3,1401","62,9744","4,4030","4,0873",5,
2017,21,ARQUITETURA E URBANISMO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,132,Educação Presencial,5300108,Brasília,DF,141,128,"61,3602","3,4161","60,7516","4,1266","3,9490",5,
2017,21,ARQUITETURA E URBANISMO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,1138293,Educação Presencial,5300108,Brasília,DF,123,110,"58,3155","2,9649","55,6845","3,4965","3,3636",4,
2017,21,ARQUITETURA E URBANISMO,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,99444,Educação Presencial,2803609,Laranjeiras,SE,42,31,"62,2290","3,5448","57,5161","3,7243","3,6794",4,
2017,21,ARQUITETURA E URBANISMO,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,122640,Educação Presencial,1302603,Manaus,AM,64,50,"60,3600","3,2679","54,7100","3,3753","3,3485",4,
2017,21,ARQUITETURA E URBANISMO,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,517,Educação Presencial,2211001,Teresina,PI,91,82,"65,3707","4,0103","61,1890","4,1810","4,1383",5,
2017,21,ARQUITETURA E URBANISMO,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,112596,Educação Presencial,3146107,Ouro Preto,MG,45,43,"61,7419","3,4726","60,5372","4,1000","3,9431",4,
2017,21,ARQUITETURA E URBANISMO,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,704,Educação Presencial,3171303,Viçosa,MG,48,46,"69,5326","4,6270","62,8217","4,3841","4,4448",5,
2017,21,ARQUITETURA E URBANISMO,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,750,Educação Presencial,4113700,Londrina,PR,69,65,"61,2308","3,3969","55,9769","3,5329","3,4989",4,
2017,21,ARQUITETURA E URBANISMO,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,864,Educação Presencial,4106902,Curitiba,PR,201,182,"58,1797","2,9448","50,7819","2,8869","2,9013",3,
