"Instituicao","Sigla","despesaLiquidada","totalAlunos","custoAluno"
"UNIVERSIDADE FEDERAL DO ACRE (UFAC)","UFAC","286.2",9732,"29412.1"
"UNIVERSIDADE FEDERAL DE ALAGOAS (UFAL)","UFAL","802.8",23741,"33813.6"
"UNIVERSIDADE FEDERAL DO AMAZONAS (UFAM)","UFAM","663.5",32203,"20603.9"
"UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP)","UNIFAP","152.7",10796,"14148.7"
"UNIVERSIDADE FEDERAL DA BAHIA (UFBA)","UFBA","1480.0",41445,"35709.2"
"UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (UFOB)","UFOB","72.5",2740,"26453.6"
"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA (UFRB)","UFRB","236.5",10315,"22927.3"
"UNIVERSIDADE FEDERAL DO SUL DA BAHIA (UFSBA)","UFSBA","70.2",2194,"32017.8"
"UNIVERSIDADE FEDERAL DO CARIRI (UFCA)","UFCA","75.6",2570,"29421.6"
"UNIVERSIDADE FEDERAL DO CEARÁ (UFC)","UFC","1560.1",32269,"48346.1"
"UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA (UNILAB)","UNILAB","105.9",4525,"23394.0"
"UNIVERSIDADE DE BRASÍLIA (UNB)","UNB","1620.9",41770,"38805.9"
"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO (UFES)","UFES","942.2",26944,"34969.7"
"UNIVERSIDADE FEDERAL DE GOIÁS (UFG)","UFG","1219.8",27635,"44138.9"
"UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA)","UFMA","729.5",32204,"22652.6"
"UNIVERSIDADE FEDERAL DE UBERLÂNDIA (UFU)","UFU","1204.0",24535,"49073.4"
"UNIVERSIDADE FEDERAL DE VIÇOSA (UFV)","UFV","810.1",16072,"50401.8"
"UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI (UFSJ)","UFSJ","264.2",13849,"19079.5"
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA (UFJF)","UFJF","823.1",22706,"36251.0"
"UNIVERSIDADE FEDERAL DE LAVRAS (UFLA)","UFLA","309.9",11961,"25910.5"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG)","UFMG","2049.2",40034,"51185.8"
"UNIVERSIDADE FEDERAL DE OURO PRETO (UFOP)","UFOP","373.7",14366,"26013.1"
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO (UFTM)","UFTM","425.7",6277,"67823.1"
"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI (UFVJM)","UFVJM","223.0",9578,"23283.4"
"UNIVERSIDADE FEDERAL DE ITAJUBÁ (UNIFEI)","UNIFEI","189.9",7662,"24784.3"
"UNIVERSIDADE FEDERAL DE ALFENAS (UNIFAL-MG)","UNIFAL-MG","192.7",7060,"27294.2"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS (UFGD)","UFGD","215.6",8119,"26555.6"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL (UFMS)","UFMS","713.2",18170,"39252.3"
"UNIVERSIDADE FEDERAL DE MATO GROSSO (UFMT)","UFMT","876.5",21419,"40922.6"
"UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA (UFRA)","UFRA","177.3",6848,"25892.8"
"UNIVERSIDADE FEDERAL DO OESTE DO PARÁ (UFOPA)","UFOPA","136.8",7404,"18470.3"
"UNIVERSIDADE FEDERAL DO PARÁ (UFPA)","UFPA","1265.3",43598,"29022.7"
"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ (UNIFESSPA)","UNIFESSPA","84.4",3345,"25233.5"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG)","UFCG","661.4",17194,"38468.7"
"UNIVERSIDADE FEDERAL DA PARAÍBA (UFPB)","UFPB","1551.5",34084,"45518.8"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO (UNIVASF)","UNIVASF","154.6",7300,"21176.1"
"UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE)","UFPE","1557.9",38774,"39754.9"
"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO (UFRPE)","UFRPE","579.0",13989,"41387.5"
"UNIVERSIDADE FEDERAL DO PIAUÍ (UFPI)","UFPI","776.2",30348,"25575.5"
"UNIVERSIDADE FEDERAL DO PARANÁ (UFPR)","UFPR","1567.1",32750,"47851.4"
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ (UTFPR)","UTFPR","814.6",29468,"27643.3"
"UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA (UNILA)","UNILA","128.4",2880,"44600.4"
"UNIVERSIDADE FEDERAL FLUMINENSE (UFF)","UFF","1964.5",51564,"38098.0"
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO (UFRJ)","UFRJ","3571.0",50057,"71337.8"
"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO (UFRRJ)","UFRRJ","576.3",20989,"27459.2"
"UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO (UNIRIO)","UNIRIO","466.0",13586,"34298.8"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE (UFRN)","UFRN","1694.5",32872,"51548.1"
"UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO (UFERSA)","UFERSA","253.9",9757,"26027.1"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA (UNIR)","UNIR","232.0",10425,"22256.4"
"UNIVERSIDADE FEDERAL DE RORAIMA (UFRR)","UFRR","187.4",6970,"26883.1"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE (FUFCSPA)","FUFCSPA","128.2",2681,"47824.2"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA (UNIPAMPA)","UNIPAMPA","254.6",10149,"25086.0"
"UNIVERSIDADE FEDERAL DE PELOTAS (UFPEL)","UFPEL","711.6",19512,"36468.0"
"UNIVERSIDADE FEDERAL DO RIO GRANDE (FURG)","FURG","497.6",10684,"46578.9"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL (UFRGS)","UFRGS","1695.2",38858,"43626.7"
"UNIVERSIDADE FEDERAL DE SANTA MARIA (UFSM)","UFSM","1210.3",24036,"50353.7"
"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL (UFFS)","UFFS","206.2",8030,"25677.9"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC)","UFSC","1503.8",36452,"41255.6"
"UNIVERSIDADE FEDERAL DE SERGIPE (UFS)","UFS","635.4",30060,"21138.2"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC (UFABC)","UFABC","229.4",13203,"17377.8"
"UNIVERSIDADE FEDERAL DE SÃO CARLOS (UFSCAR)","UFSCAR","537.4",16404,"32762.6"
"UNIVERSIDADE FEDERAL DE SÃO PAULO (UNIFESP)","UNIFESP","1199.9",14784,"81161.8"
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS (UFT)","UFT","292.1",17729,"16476.7"
